header,apn,address,hearing_officer,program_analyst,petition_type,date_filed,hearing_date,mediation_date,appeal_hearing_date,case_progress,grounds_tenant,grounds_landlord,date_scraped
"CASE NUMBER:     
 Petition Number:  15051",,"437 HALE AV
Apt A",,,Tenant,03-18-2022,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
03-18-2022","GROUNDS DESCRIPTION
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)",,2022-03-22
"CASE NUMBER:  T22-0009   
 Petition Number:  14998",,3984 Altamont Avenue,Marguerita Fa-Kaji,Ava Silveira,Tenant,12-29-2021,03-16-2022,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-29-2021
Analyst Assigned Completed
01-26-2022
Hearing Officer Assigned Completed
01-26-2022
Hearing date scheduled Completed
03-16-2022
Case assigned Completed
01-26-2022
Notice of case mailed Completed
02-04-2022
Updated Party Contact Information Submitted
02-10-2022
Owner Response Due Action needed
01-25-2022
Owner response submitted Submitted
01-25-2022
Other Notification sent
02-11-2022
Document(s) Submitted Submitted
02-14-2022
Document(s) Submitted Submitted
02-27-2022
Settled at settlement conference Submitted
03-16-2022
Settlement Agreement Submitted
03-16-2022
Settlement Agreement Notification sent
03-16-2022
Other Completed
03-17-2022","GROUNDS DESCRIPTION
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)",,2022-03-22
"CASE NUMBER:  L22-0002   
 Petition Number:  14997",048F736503900,1900 Mountain Blvd,Marguerita Fa-Kaji,Ava Silveira,Property Owner,12-28-2021,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-28-2021
Updated Party Contact Information Submitted
01-25-2022
Deficient Completed
01-25-2022
Analyst Assigned Completed
01-25-2022
Hearing Officer Assigned Completed
01-25-2022
Case assigned Action needed
01-25-2022",,"REASON
Exemption-Single Family Residence or Condominium -Costa Hawkins",2022-03-22
"CASE NUMBER:  T22-0004   
 Petition Number:  14996",010 077000800,240 Grand Avenue,Marguerita Fa-Kaji,Ava Silveira,Tenant,12-27-2021,05-18-2022,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-27-2021
Mediation Completed
01-24-2022
Analyst Assigned Completed
01-24-2022
Hearing Officer Assigned Completed
01-24-2022
Hearing date scheduled Completed
03-17-2022
Case assigned Completed
01-24-2022
Updated Party Contact Information Submitted
01-24-2022
Notice of case mailed Completed
02-04-2022
Additional documentation Submitted
02-09-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022
Additional documentation Submitted
02-10-2022","GROUNDS DESCRIPTION
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)",,2022-03-22
"CASE NUMBER:  T22-0003   
 Petition Number:  14995",,2535 East 29th Street,Marguerita Fa-Kaji,Ava Silveira,Tenant,12-24-2021,03-14-2022,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-24-2021
Analyst Assigned Completed
01-24-2022
Hearing Officer Assigned Completed
01-24-2022
Hearing date scheduled Completed
03-14-2022
Case assigned Completed
01-24-2022
Notice of case mailed Completed
02-04-2022
Owner Response Due Action needed
01-20-2022
Translation services requested Completed
02-11-2022
Other Notification sent
02-11-2022
Updated Party Contact Information Submitted
02-23-2022
Administrative Decision Submitted
03-01-2022
Translation services request canceled Completed
03-01-2022
Administrative Decision Completed
03-01-2022
Appeal Due Action needed
03-21-2022","GROUNDS DESCRIPTION
Allowable Amount I received a rent increase above the allowable amount.
Notice to Tenants  I received a rent increase that I believe is unlawful because I was not given proper notice, was not properly served, and/or was not provided with the required RAP Notice (“Notice to Tenants of the Residential Rent Adjustment Program”).",,2022-03-22
"CASE NUMBER:  T22-0001   
 Petition Number:  14982",,1174 63RD ST,,,Tenant,12-30-2021,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-30-2021
Additional documentation Submitted
12-31-2021
Additional documentation Submitted
12-31-2021","GROUNDS DESCRIPTION
Allowable Amount I received a rent increase above the allowable amount.
Notice to Tenants  I received a rent increase that I believe is unlawful because I was not given proper notice, was not properly served, and/or was not provided with the required RAP Notice (“Notice to Tenants of the Residential Rent Adjustment Program”).
Code Violation I received a rent increase and do not believe I should have to pay it because a government agency has cited my unit for serious health, safety, fire, or building code violations. (You must attach copy of citation to petition.)
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)
Unlawfully charged I am being unlawfully charged for utilities",,2022-03-22
"CASE NUMBER:  T22-0011   
 Petition Number:  14981",,"3020 Martin Luther King Junior Way, Oakland, CA, USA",Barbara Cohen,Ava Silveira,Tenant,12-30-2021,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-30-2021
Deficient Completed
01-26-2022
Analyst Assigned Completed
01-26-2022
Hearing Officer Assigned Completed
01-26-2022
Updated Party Contact Information Submitted
01-26-2022
Updated Party Contact Information Submitted
01-26-2022
Case assigned Action needed
01-26-2022
Notice of Incomplete Petition Notification sent
02-08-2022
Involuntary Dismissal Submitted
03-14-2022
Involuntary Dismissal Completed
03-15-2022
Appeal Due Action needed
04-04-2022","GROUNDS DESCRIPTION
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)",,2022-03-22
"CASE NUMBER:  T22-0010   
 Petition Number:  14980",,"3020 Martin Luther King Junior Way, Oakland, CA, USA",Barbara Cohen,Ava Silveira,Tenant,12-30-2021,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-30-2021
Deficient Completed
01-26-2022
Analyst Assigned Completed
01-26-2022
Hearing Officer Assigned Completed
01-26-2022
Case assigned Action needed
01-26-2022
Notice of Incomplete Petition Notification sent
02-08-2022
Involuntary Dismissal Submitted
03-14-2022
Involuntary Dismissal Completed
03-15-2022
Appeal Due Action needed
04-04-2022","GROUNDS DESCRIPTION
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)",,2022-03-22
"CASE NUMBER:  T22-0008   
 Petition Number:  14979",,2920 E 16TH ST,Elan Lambert,Brittni Lothlen ,Tenant,12-29-2021,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-29-2021
Additional documentation Submitted
12-29-2021
Analyst Assigned Completed
01-25-2022
Hearing Officer Assigned Completed
01-25-2022
Hearing date scheduled Completed
03-07-2022
Case assigned Completed
01-25-2022
Updated Party Contact Information Submitted
01-25-2022
Updated Party Contact Information Submitted
01-25-2022
Hearing Date Rescheduled In-process
02-01-2022
Hearing date scheduled Completed
03-09-2022
Notice of case mailed Completed
02-04-2022
Notice of Incomplete Petition Notification sent
02-07-2022
Other Notification sent
02-18-2022
Translation services requested Notification sent
03-02-2022
Administrative Decision Submitted
03-04-2022
Administrative Decision Completed
03-04-2022
Appeal Due Action needed
03-21-2022","GROUNDS DESCRIPTION
Allowable Amount I received a rent increase above the allowable amount.
Notice to Tenants  I received a rent increase that I believe is unlawful because I was not given proper notice, was not properly served, and/or was not provided with the required RAP Notice (“Notice to Tenants of the Residential Rent Adjustment Program”).",,2022-03-22
"CASE NUMBER:  T22-0005   
 Petition Number:  14978",,621 55TH ST,Barbara Cohen,Ava Silveira,Tenant,12-28-2021,,,,"ACTIVITY STATUS
DATE OF ACTIVITY
Petition submitted Submitted
12-28-2021
Additional documentation Submitted
01-21-2022
Deficient Completed
01-24-2022
Analyst Assigned Completed
01-24-2022
Hearing Officer Assigned Completed
01-24-2022
Case assigned Action needed
01-24-2022
Updated Party Contact Information Submitted
01-24-2022
Notice of Incomplete Petition Notification sent
02-08-2022
Additional documentation Submitted
03-07-2022
Additional documentation Submitted
03-07-2022
Additional documentation Submitted
03-08-2022
Additional documentation Submitted
03-08-2022
Additional documentation Submitted
03-08-2022","GROUNDS DESCRIPTION
Fewer housing services The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)",,2022-03-22
