header,apn,address,hearing_officer,program_analyst,petition_type,date_filed,hearing_date,mediation_date,appeal_hearing_date,case_progress,grounds_tenant,grounds_landlord,date_scraped
"CASE NUMBER:     
 Petition Number:  15054",,"392 11TH ST
409",,,Tenant,03-24-2022,,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
03-24-2022","Grounds
Notice to Tenants
Description
 I received a rent increase that I believe is unlawful because I was not given proper notice, was not properly served, and/or was not provided with the required RAP Notice (“Notice to Tenants of the Residential Rent Adjustment Program”).",,2022-03-26
"CASE NUMBER:  T05-0055   
 Petition Number:  9002",,"3257 Delaware St., Apt. 1",,Keith Mason,Tenant,02-28-2005,06-08-2005,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Tenant response submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Response Mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-08-2005
Activity
Hearing Decision
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018
Activity
Appeal Due
Status
Completed
Date of Activity
02-13-2018","Grounds
Description",,2022-03-26
"CASE NUMBER:  T05-0028   
 Petition Number:  9001",,"451Lee St., #204",Stephen Kasdin,Keith Mason,Tenant,01-01-2005,,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018","Grounds
Description",,2022-03-26
"CASE NUMBER:  T04-0336   
 Petition Number:  9000",,VOID,,,Tenant,01-01-2004,,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018","Grounds
Description",,2022-03-26
"CASE NUMBER:  T03-0422   
 Petition Number:  8999",,VOID,,Connie Taylor,Tenant,01-01-2003,,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Hearing Decision
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018
Activity
Appeal Due
Status
Completed
Date of Activity
02-13-2018","Grounds
Description",,2022-03-26
"CASE NUMBER:  T03-0303   
 Petition Number:  8998",,763 Alcatraz Avenue,Stephen Kasdin,Connie Taylor,Tenant,01-01-2003,,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018","Grounds
Description",,2022-03-26
"CASE NUMBER:  T03-0242   
 Petition Number:  8997",,3063 Curran Avenue,,Keith Mason,Tenant,06-30-2003,,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Hearing Decision
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018
Activity
Appeal Due
Status
Completed
Date of Activity
02-13-2018","Grounds
Description",,2022-03-26
"CASE NUMBER:  T03-0210   
 Petition Number:  8996",,1087A Stanford Avenue,Stephen Kasdin,,Tenant,06-05-2003,09-25-2003,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Tenant response submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Hearing date scheduled
Status
Completed
Date of Activity
09-25-2003
Activity
Hearing Decision
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018
Activity
Appeal Due
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
08-06-2020","Grounds
Description",,2022-03-26
"CASE NUMBER:  T03-0209   
 Petition Number:  8995",,1087B Stanford Avenue,Stephen Kasdin,,Tenant,06-05-2003,09-25-2003,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Tenant response submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Hearing date scheduled
Status
Completed
Date of Activity
09-25-2003
Activity
Hearing Decision
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018
Activity
Appeal Due
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
08-06-2020","Grounds
Description",,2022-03-26
"CASE NUMBER:  T03-0208   
 Petition Number:  8994",,1089A Stanford Avenue,Stephen Kasdin,,Tenant,06-05-2003,09-25-2003,,,"Activity
Petition submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-13-2018
Activity
Last Day to Respond
Status
Completed
Date of Activity
02-13-2018
Activity
Tenant response submitted
Status
Completed
Date of Activity
02-13-2018
Activity
Hearing date scheduled
Status
Completed
Date of Activity
09-25-2003
Activity
Hearing Decision
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
02-13-2018
Activity
Appeal Due
Status
Completed
Date of Activity
02-13-2018
Activity
Case closed
Status
Completed
Date of Activity
08-06-2020","Grounds
Description",,2022-03-26
