header,apn,address,hearing_officer,program_analyst,petition_type,date_filed,hearing_date,mediation_date,appeal_hearing_date,case_progress,grounds_tenant,grounds_landlord,date_scraped
"CASE NUMBER:     
 Petition Number:  15052",,"396 38TH ST
E",,,Tenant,03-22-2022,,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
03-22-2022","Grounds
Notice to Tenants
Description
 I received a rent increase that I believe is unlawful because I was not given proper notice, was not properly served, and/or was not provided with the required RAP Notice (“Notice to Tenants of the Residential Rent Adjustment Program”).
Grounds
Fewer housing services
Description
The property owner is providing me with fewer housing services than I previously received and/or I am being charged for services originally paid for by the owner. (Check this box for petitions based on bad conditions/failure to repair.)
Grounds
Rent Initiation
Description
The initial rent amount when I first moved in was unlawful because the property owner was not permitted to set the initial rent without limitation. O.M.C. § 8.22.080 (C). ",,2022-03-23
"CASE NUMBER:  L20-0010   
 Petition Number:  11286",,3119 Lynde Street,Stephen Kasdin,Susan Ma,Property Owner,12-31-2019,06-10-2020,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-24-2020
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-24-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-24-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-09-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-24-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Tenant Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
05-13-2020
Activity
Mediation Date Scheduled
Status
Completed
Date of Activity
06-08-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
06-08-2020
Activity
Mediation Notice Mailed
Status
Completed
Date of Activity
06-01-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
06-10-2020
Activity
Mediation Notice Mailed
Status
Completed
Date of Activity
06-09-2020
Activity
Mediation Notice Mailed
Status
Completed
Date of Activity
06-19-2020
Activity
Settlement Agreement
Status
Completed
Date of Activity
09-28-2020
Activity
Case closed
Status
Completed
Date of Activity
09-28-2020",,"Reason
Capital Improvements",2022-03-23
"CASE NUMBER:  T20-0026   
 Petition Number:  11285",009 073501300,454 34th Street,Linda Moroz,Ava Silveira,Tenant,12-31-2019,09-10-2020,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-03-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Owner Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
08-10-2020
Activity
Analyst Assigned
Status
Completed
Date of Activity
05-12-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
08-10-2020
Activity
New hearing scheduled
Status
Completed
Date of Activity
05-12-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
09-10-2020
Activity
Order Denying Request to Change Date of Hearing
Status
Submitted
Date of Activity
08-11-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
07-23-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
07-28-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
07-28-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
07-28-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
07-28-2020
Activity
Owner response submitted
Status
Submitted
Date of Activity
03-30-2020
Activity
Owner response submitted
Status
Submitted
Date of Activity
05-07-2020
Activity
Amended Notice of Hearing 
Status
Notification sent
Date of Activity
07-01-2020
Activity
Other
Status
Notification sent
Date of Activity
07-28-2020
Activity
Response Mailed
Status
Completed
Date of Activity
07-28-2020
Activity
Other
Status
Completed
Date of Activity
08-24-2020
Activity
Settlement Agreement
Status
In-process
Date of Activity
09-11-2020
Activity
Settlement Agreement
Status
Notification sent
Date of Activity
10-02-2020
Activity
Case closed
Status
Completed
Date of Activity
10-02-2020","Grounds
Rent Increase Exceeds CPI or more than 10%
Description
b) The increase (or increases) exceeds the CPI Adjustment and is unjustified, or is greater than 10%.
Grounds
No Pre Approval of Increase
Description
c) I received a rent increase notice before the property owner received approval from the Rent Adjustment Program for such an increase and the rent increase exceeds the CPI Adjustment and the available banked
rent increase.
Grounds
Second Increase in 12 months
Description
g) The increase I am contesting is the second increase in my rent in a 12-month period.
Grounds
Health, Safety, Code Violations
Description
h) There is a current health, safety, fire, or building code violation in my unit, or there are serious problems with the conditions in the unit because the owner failed to do requested repair and maintenance.
Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)
Grounds
Exceeds 30% in 5 years 
Description
k) The proposed rent increase would exceed an overall increase of 30% in 5 years. (The 5-year period begins with notice(s) of rent increases on or after August 1, 2014).",,2022-03-23
"CASE NUMBER:  T20-0025   
 Petition Number:  11284",008 067001100,2326 Waverly Street,Cometria Cooper,Ava Silveira,Tenant,12-31-2019,10-06-2020,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-16-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Owner Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
05-13-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
05-13-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
08-13-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-12-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-12-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-12-2020
Activity
Order
Status
Submitted
Date of Activity
06-15-2020
Activity
1st Deficiency Notice
Status
Notification sent
Date of Activity
06-02-2020
Activity
Order
Status
Completed
Date of Activity
06-15-2020
Activity
Order
Status
Submitted
Date of Activity
08-12-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
10-06-2020
Activity
Order
Status
Notification sent
Date of Activity
08-12-2020
Activity
Order
Status
Completed
Date of Activity
08-14-2020
Activity
Involuntary Dismissal
Status
Notification sent
Date of Activity
10-29-2020
Activity
Case closed
Status
Completed
Date of Activity
10-29-2020
Activity
Involuntary Dismissal
Status
Submitted
Date of Activity
10-06-2020
Activity
Order
Status
Submitted
Date of Activity
10-23-2020","Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)",,2022-03-23
"CASE NUMBER:  T20-0024   
 Petition Number:  11283",,2324 Waverly Street,Linda Moroz,Robert Costa,Tenant,12-31-2019,06-09-2020,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-09-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Owner Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Deficiency Letter Mailed
Status
Completed
Date of Activity
02-27-2020
Activity
Owner response submitted
Status
Completed
Date of Activity
03-10-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
03-11-2020
Activity
Involuntary Dismissal
Status
Submitted
Date of Activity
03-11-2020
Activity
Administrative Decision
Status
Completed
Date of Activity
03-12-2020
Activity
Appeal Due
Status
Action needed
Date of Activity
04-01-2020
Activity
Case closed
Status
Completed
Date of Activity
07-13-2020","Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)
Grounds
Health, Safety, Code Violations
Description
h) There is a current health, safety, fire, or building code violation in my unit, or there are serious problems with the conditions in the unit because the owner failed to do requested repair and maintenance.",,2022-03-23
"CASE NUMBER:  T20-0023   
 Petition Number:  11282",008 067001000,2306 Waverly Street,Elan Lambert,Ava Silveira,Tenant,12-31-2019,11-30-2020,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-08-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Owner Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
1st Deficiency Notice
Status
Notification sent
Date of Activity
03-12-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-09-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-10-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-16-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
10-30-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
10-30-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-30-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-30-2020
Activity
Involuntary Dismissal
Status
Submitted
Date of Activity
11-30-2020
Activity
Order
Status
Notification sent
Date of Activity
01-28-2021
Activity
Case closed
Status
Completed
Date of Activity
01-30-2021","Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)
Grounds
Health, Safety, Code Violations
Description
h) There is a current health, safety, fire, or building code violation in my unit, or there are serious problems with the conditions in the unit because the owner failed to do requested repair and maintenance.",,2022-03-23
"CASE NUMBER:  T20-0022   
 Petition Number:  11281",008 067001000,2306 Waverly Street,Elan Lambert,,Tenant,12-31-2019,04-13-2021,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-08-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Owner Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
1st Deficiency Notice
Status
Notification sent
Date of Activity
03-12-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-09-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-10-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-16-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-30-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
04-13-2021
Activity
Analyst Assigned
Status
Completed
Date of Activity
12-30-2020
Activity
Other
Status
In-process
Date of Activity
12-30-2020
Activity
Translation services requested
Status
Completed
Date of Activity
01-26-2021
Activity
Voluntary Dismissal
Status
Submitted
Date of Activity
04-13-2021
Activity
Notice of Settlement Conference and Hearing
Status
Notification sent
Date of Activity
03-26-2021
Activity
Voluntary Dismissal
Status
Notification sent
Date of Activity
04-16-2021
Activity
Case closed
Status
Completed
Date of Activity
09-03-2021
Activity
Case closed
Status
Completed
Date of Activity
09-03-2021","Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)
Grounds
Health, Safety, Code Violations
Description
h) There is a current health, safety, fire, or building code violation in my unit, or there are serious problems with the conditions in the unit because the owner failed to do requested repair and maintenance.",,2022-03-23
"CASE NUMBER:  T20-0021   
 Petition Number:  11280",008 067001000,2306 Waverly Street,Elan Lambert,,Tenant,12-31-2019,04-13-2021,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-08-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of case mailed
Status
Completed
Date of Activity
02-24-2020
Activity
Owner Response Due
Status
Action needed
Date of Activity
03-30-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
1st Deficiency Notice
Status
Notification sent
Date of Activity
03-12-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-09-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-10-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-16-2020
Activity
Other
Status
Notification sent
Date of Activity
11-13-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
11-30-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
04-13-2021
Activity
Analyst Assigned
Status
Completed
Date of Activity
12-30-2020
Activity
Other
Status
In-process
Date of Activity
12-30-2020
Activity
Translation services requested
Status
Completed
Date of Activity
01-26-2021
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
01-27-2021
Activity
Voluntary Dismissal
Status
Submitted
Date of Activity
04-13-2021
Activity
Notice of Settlement Conference and Hearing
Status
Notification sent
Date of Activity
03-26-2021
Activity
Voluntary Dismissal
Status
Notification sent
Date of Activity
04-16-2021
Activity
Case closed
Status
Completed
Date of Activity
09-03-2021","Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)
Grounds
Health, Safety, Code Violations
Description
h) There is a current health, safety, fire, or building code violation in my unit, or there are serious problems with the conditions in the unit because the owner failed to do requested repair and maintenance.",,2022-03-23
"CASE NUMBER:  A20-0001   
 Petition Number:  11279",007 059601700,3221 Helen Street,Maimoona Ahmad,Ava Silveira,Property Owner,12-31-2019,,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
02-21-2020
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-24-2020
Activity
Other
Status
Notification sent
Date of Activity
03-03-2020
Activity
Tenant Response Due
Status
In-process
Date of Activity
03-23-2020
Activity
Letter sent to Property Owner
Status
Completed
Date of Activity
03-03-2020
Activity
Deficiency Letter Sent to Property Owner
Status
Completed
Date of Activity
03-03-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
06-25-2020
Activity
Administrative Decision
Status
Notification sent
Date of Activity
09-30-2020
Activity
Case closed
Status
Completed
Date of Activity
09-30-2020
Activity
Administrative Decision
Status
Submitted
Date of Activity
09-15-2020",,,2022-03-23
"CASE NUMBER:  T20-0020   
 Petition Number:  11278",,2320 Waverly Street,Marguerita Fa-Kaji,Susan Ma,Tenant,12-31-2019,06-18-2020,,,"Activity
Petition submitted
Status
Submitted
Date of Activity
12-31-2019
Activity
Analyst Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Hearing date scheduled
Status
Completed
Date of Activity
06-03-2020
Activity
Case assigned
Status
Completed
Date of Activity
02-21-2020
Activity
Notice of Settlement Conference and Hearing
Status
Completed
Date of Activity
02-21-2020
Activity
Amended Notice of Hearing 
Status
Notification sent
Date of Activity
05-15-2020
Activity
Other
Status
Completed
Date of Activity
06-01-2020
Activity
Other
Status
Completed
Date of Activity
06-01-2020
Activity
Analyst Assigned
Status
Completed
Date of Activity
06-02-2020
Activity
Hearing Officer Assigned
Status
Completed
Date of Activity
06-02-2020
Activity
Hearing Date Rescheduled
Status
Action needed
Date of Activity
06-18-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-02-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-02-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-02-2020
Activity
Hearing Date Rescheduled
Status
Completed
Date of Activity
06-18-2020
Activity
Amended Notice of Hearing 
Status
Notification sent
Date of Activity
06-02-2020
Activity
Analyst Assigned
Status
Completed
Date of Activity
06-08-2020
Activity
Notice of Settlement Conference and Hearing
Status
Completed
Date of Activity
06-08-2020
Activity
Additional documentation
Status
Completed
Date of Activity
06-10-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-10-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-10-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-10-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-10-2020
Activity
Updated Party Contact Information
Status
Submitted
Date of Activity
06-10-2020
Activity
Notice of Settlement Conference and Hearing
Status
Completed
Date of Activity
06-10-2020
Activity
Analyst review
Status
Completed
Date of Activity
06-15-2020
Activity
Involuntary Dismissal
Status
Submitted
Date of Activity
06-18-2020
Activity
Involuntary Dismissal
Status
Completed
Date of Activity
06-19-2020
Activity
Appeal Due
Status
Action needed
Date of Activity
07-09-2020
Activity
Case closed
Status
Submitted
Date of Activity
07-09-2020","Grounds
Health, Safety, Code Violations
Description
h) There is a current health, safety, fire, or building code violation in my unit, or there are serious problems with the conditions in the unit because the owner failed to do requested repair and maintenance.
Grounds
Decrease in Services
Description
i) My property owner is providing me with fewer housing services than I previously received or is charging me for services originally paid by the owner. (OMC 8.22.070(F): A decrease in housing services is considered an increase in rent. A tenant may petition for a rent adjustment based on a decrease in housing services.)",,2022-03-23
